experiment_id,game_index,checkpoint_turn,outcome_class,cv_fold
uct-10000-self-play,28,16,lead_preserved,2
uct-10000-self-play,29,16,lead_preserved,3
uct-10000-self-play,30,16,reversal,3
uct-10000-self-play,31,16,lead_preserved,4
uct-10000-self-play,32,16,reversal,1
uct-10000-self-play,34,16,lead_preserved,3
uct-10000-self-play,36,16,reversal,4
uct-10000-self-play,37,16,lead_preserved,4
uct-10000-self-play,38,16,lead_preserved,3
uct-10000-self-play,39,16,reversal,5
uct-10000-self-play,40,16,reversal,1
uct-10000-self-play,41,16,reversal,1
uct-10000-self-play,42,16,reversal,4
uct-10000-self-play,43,16,reversal,4
uct-10000-self-play,45,16,lead_preserved,4
uct-10000-self-play,46,16,reversal,1
uct-10000-self-play,47,16,lead_preserved,2
uct-10000-self-play,48,16,lead_preserved,5
uct-10000-self-play,50,16,lead_preserved,1
uct-10000-self-play,52,16,lead_preserved,5
uct-10000-self-play,53,16,reversal,2
uct-10000-self-play,54,16,reversal,1
uct-10000-self-play,55,16,reversal,5
uct-10000-self-play,57,16,lead_preserved,1
uct-10000-self-play,58,16,lead_preserved,3
uct-10000-self-play,59,16,reversal,5
uct-10000-self-play,61,16,reversal,2
uct-10000-self-play,62,16,reversal,3
uct-10000-self-play,63,16,reversal,1
uct-10000-self-play,64,16,reversal,3
uct-10000-self-play,65,16,lead_preserved,4
uct-10000-self-play,66,16,lead_preserved,4
uct-10000-self-play,67,16,reversal,4
uct-10000-self-play,68,16,reversal,3
uct-10000-self-play,69,16,reversal,2
uct-10000-self-play,70,16,lead_preserved,3
uct-10000-self-play,71,16,lead_preserved,1
uct-10000-self-play,73,16,lead_preserved,1
uct-10000-self-play,74,16,lead_preserved,1
uct-10000-self-play,75,16,reversal,3
uct-10000-self-play,77,16,reversal,2
uct-10000-self-play,78,16,lead_preserved,5
uct-10000-self-play,79,16,reversal,5
uct-10000-self-play,80,16,reversal,5
uct-10000-self-play,81,16,lead_preserved,1
uct-10000-self-play,83,16,reversal,2
uct-10000-self-play,84,16,lead_preserved,4
uct-10000-self-play,85,16,lead_preserved,2
uct-10000-self-play,86,16,lead_preserved,5
uct-10000-self-play,88,16,reversal,2
uct-10000-self-play,89,16,lead_preserved,4
uct-10000-self-play,90,16,reversal,1
uct-10000-self-play,91,16,reversal,4
uct-10000-self-play,92,16,lead_preserved,5
uct-10000-self-play,93,16,reversal,3
uct-10000-self-play,94,16,lead_preserved,2
uct-10000-self-play,96,16,lead_preserved,1
uct-10000-self-play,98,16,reversal,2
uct-10000-self-play,99,16,lead_preserved,3
uct-10000-self-play,100,16,reversal,2
uct-10000-self-play,1,20,lead_preserved,2
uct-10000-self-play,2,20,reversal,5
uct-10000-self-play,4,20,reversal,4
uct-10000-self-play,5,20,lead_preserved,2
uct-10000-self-play,8,20,lead_preserved,2
uct-10000-self-play,9,20,lead_preserved,4
uct-10000-self-play,10,20,reversal,5
uct-10000-self-play,11,20,lead_preserved,3
uct-10000-self-play,12,20,lead_preserved,4
uct-10000-self-play,13,20,reversal,4
uct-10000-self-play,14,20,lead_preserved,5
uct-10000-self-play,15,20,lead_preserved,2
uct-10000-self-play,16,20,reversal,3
uct-10000-self-play,17,20,reversal,2
uct-10000-self-play,18,20,reversal,2
uct-10000-self-play,19,20,lead_preserved,3
uct-10000-self-play,20,20,lead_preserved,1
uct-10000-self-play,21,20,lead_preserved,5
uct-10000-self-play,22,20,reversal,1
uct-10000-self-play,23,20,lead_preserved,1
uct-10000-self-play,24,20,reversal,1
uct-10000-self-play,25,20,lead_preserved,4
uct-10000-self-play,26,20,lead_preserved,3
uct-10000-self-play,29,20,lead_preserved,2
uct-10000-self-play,30,20,lead_preserved,4
uct-10000-self-play,31,20,lead_preserved,4
uct-10000-self-play,32,20,lead_preserved,4
uct-10000-self-play,34,20,reversal,2
uct-10000-self-play,35,20,reversal,4
uct-10000-self-play,36,20,lead_preserved,1
uct-10000-self-play,37,20,reversal,3
uct-10000-self-play,38,20,reversal,5
uct-10000-self-play,39,20,lead_preserved,2
uct-10000-self-play,41,20,reversal,4
uct-10000-self-play,42,20,reversal,4
uct-10000-self-play,43,20,reversal,3
uct-10000-self-play,45,20,lead_preserved,2
uct-10000-self-play,46,20,lead_preserved,1
uct-10000-self-play,47,20,reversal,4
uct-10000-self-play,48,20,lead_preserved,2
uct-10000-self-play,49,20,lead_preserved,1
uct-10000-self-play,50,20,lead_preserved,3
uct-10000-self-play,51,20,lead_preserved,5
uct-10000-self-play,52,20,lead_preserved,4
uct-10000-self-play,53,20,reversal,3
uct-10000-self-play,54,20,reversal,5
uct-10000-self-play,55,20,reversal,1
uct-10000-self-play,57,20,reversal,1
uct-10000-self-play,58,20,reversal,4
uct-10000-self-play,59,20,reversal,2
uct-10000-self-play,61,20,lead_preserved,3
uct-10000-self-play,63,20,reversal,2
uct-10000-self-play,64,20,reversal,2
uct-10000-self-play,65,20,lead_preserved,1
uct-10000-self-play,67,20,lead_preserved,5
uct-10000-self-play,68,20,lead_preserved,3
uct-10000-self-play,69,20,reversal,1
uct-10000-self-play,71,20,reversal,2
uct-10000-self-play,72,20,reversal,5
uct-10000-self-play,73,20,lead_preserved,2
uct-10000-self-play,74,20,lead_preserved,5
uct-10000-self-play,76,20,lead_preserved,4
uct-10000-self-play,77,20,lead_preserved,1
uct-10000-self-play,78,20,lead_preserved,1
uct-10000-self-play,79,20,reversal,1
uct-10000-self-play,80,20,reversal,5
uct-10000-self-play,81,20,reversal,1
uct-10000-self-play,83,20,lead_preserved,3
uct-10000-self-play,84,20,lead_preserved,1
uct-10000-self-play,85,20,lead_preserved,5
uct-10000-self-play,88,20,lead_preserved,3
uct-10000-self-play,89,20,reversal,3
uct-10000-self-play,90,20,reversal,5
uct-10000-self-play,92,20,lead_preserved,5
uct-10000-self-play,93,20,reversal,1
uct-10000-self-play,94,20,lead_preserved,3
uct-10000-self-play,96,20,lead_preserved,5
uct-10000-self-play,97,20,lead_preserved,5
uct-10000-self-play,98,20,reversal,3
uct-10000-self-play,99,20,lead_preserved,4
uct-10000-self-play,100,20,reversal,3
uct-100000-self-play,1,8,lead_preserved,1
uct-100000-self-play,3,8,lead_preserved,4
uct-100000-self-play,4,8,lead_preserved,4
uct-100000-self-play,5,8,lead_preserved,3
uct-100000-self-play,6,8,reversal,2
uct-100000-self-play,7,8,reversal,5
uct-100000-self-play,8,8,lead_preserved,2
uct-100000-self-play,9,8,reversal,3
uct-100000-self-play,10,8,reversal,3
uct-100000-self-play,11,8,reversal,2
uct-100000-self-play,12,8,reversal,5
uct-100000-self-play,13,8,lead_preserved,4
uct-100000-self-play,16,8,lead_preserved,5
uct-100000-self-play,17,8,reversal,3
uct-100000-self-play,18,8,lead_preserved,5
uct-100000-self-play,19,8,reversal,1
uct-100000-self-play,20,8,lead_preserved,5
uct-100000-self-play,22,8,lead_preserved,2
uct-100000-self-play,23,8,lead_preserved,1
uct-100000-self-play,24,8,reversal,5
uct-100000-self-play,25,8,reversal,1
uct-100000-self-play,26,8,reversal,2
uct-100000-self-play,27,8,lead_preserved,3
uct-100000-self-play,28,8,lead_preserved,3
uct-100000-self-play,29,8,reversal,5
uct-100000-self-play,31,8,reversal,5
uct-100000-self-play,32,8,lead_preserved,3
uct-100000-self-play,33,8,reversal,3
uct-100000-self-play,34,8,lead_preserved,4
uct-100000-self-play,35,8,reversal,4
uct-100000-self-play,36,8,lead_preserved,3
uct-100000-self-play,37,8,lead_preserved,2
uct-100000-self-play,38,8,reversal,3
uct-100000-self-play,39,8,reversal,2
uct-100000-self-play,41,8,reversal,5
uct-100000-self-play,42,8,lead_preserved,5
uct-100000-self-play,43,8,reversal,2
uct-100000-self-play,44,8,reversal,4
uct-100000-self-play,45,8,lead_preserved,4
uct-100000-self-play,46,8,reversal,4
uct-100000-self-play,47,8,reversal,2
uct-100000-self-play,48,8,lead_preserved,3
uct-100000-self-play,49,8,lead_preserved,4
uct-100000-self-play,51,8,reversal,1
uct-100000-self-play,52,8,lead_preserved,1
uct-100000-self-play,53,8,lead_preserved,4
uct-100000-self-play,54,8,reversal,2
uct-100000-self-play,55,8,reversal,5
uct-100000-self-play,56,8,lead_preserved,1
uct-100000-self-play,57,8,lead_preserved,5
uct-100000-self-play,58,8,reversal,1
uct-100000-self-play,59,8,lead_preserved,1
uct-100000-self-play,62,8,lead_preserved,1
uct-100000-self-play,63,8,lead_preserved,5
uct-100000-self-play,64,8,lead_preserved,1
uct-100000-self-play,65,8,reversal,4
uct-100000-self-play,66,8,reversal,3
uct-100000-self-play,68,8,lead_preserved,1
uct-100000-self-play,71,8,reversal,4
uct-100000-self-play,72,8,lead_preserved,2
uct-100000-self-play,73,8,lead_preserved,2
uct-100000-self-play,74,8,reversal,1
uct-100000-self-play,75,8,reversal,1
uct-100000-self-play,77,8,lead_preserved,2
uct-100000-self-play,80,8,reversal,1
uct-100000-self-play,81,8,lead_preserved,3
uct-100000-self-play,82,8,lead_preserved,5
uct-100000-self-play,83,8,reversal,3
uct-100000-self-play,84,8,reversal,2
uct-100000-self-play,85,8,lead_preserved,2
uct-100000-self-play,86,8,reversal,4
uct-100000-self-play,87,8,lead_preserved,3
uct-100000-self-play,89,8,reversal,4
uct-100000-self-play,90,8,reversal,4
uct-100000-self-play,92,8,reversal,1
uct-100000-self-play,94,8,lead_preserved,5
uct-100000-self-play,96,8,lead_preserved,2
uct-100000-self-play,97,8,reversal,5
uct-100000-self-play,98,8,lead_preserved,4
uct-100000-self-play,100,8,reversal,3
uct-100000-self-play,1,12,reversal,2
uct-100000-self-play,2,12,reversal,5
uct-100000-self-play,3,12,reversal,1
uct-100000-self-play,4,12,reversal,5
uct-100000-self-play,5,12,lead_preserved,2
uct-100000-self-play,6,12,reversal,5
uct-100000-self-play,7,12,lead_preserved,3
uct-100000-self-play,8,12,lead_preserved,2
uct-100000-self-play,9,12,lead_preserved,1
uct-100000-self-play,10,12,reversal,4
uct-100000-self-play,11,12,lead_preserved,1
uct-100000-self-play,12,12,lead_preserved,2
uct-100000-self-play,14,12,reversal,5
uct-100000-self-play,17,12,reversal,2
uct-100000-self-play,18,12,lead_preserved,1
uct-100000-self-play,19,12,lead_preserved,4
uct-100000-self-play,22,12,lead_preserved,1
uct-100000-self-play,23,12,lead_preserved,3
uct-100000-self-play,24,12,reversal,1
uct-100000-self-play,25,12,lead_preserved,5
uct-100000-self-play,26,12,reversal,3
uct-100000-self-play,28,12,lead_preserved,1
uct-100000-self-play,29,12,reversal,3
uct-100000-self-play,30,12,reversal,2
uct-100000-self-play,31,12,lead_preserved,3
uct-100000-self-play,33,12,lead_preserved,5
uct-100000-self-play,34,12,lead_preserved,2
uct-100000-self-play,35,12,reversal,4
uct-100000-self-play,36,12,lead_preserved,1
uct-100000-self-play,37,12,lead_preserved,2
uct-100000-self-play,41,12,reversal,3
uct-100000-self-play,42,12,reversal,2
uct-100000-self-play,43,12,reversal,3
uct-100000-self-play,44,12,lead_preserved,1
uct-100000-self-play,45,12,lead_preserved,3
uct-100000-self-play,46,12,reversal,1
uct-100000-self-play,48,12,lead_preserved,4
uct-100000-self-play,49,12,reversal,1
uct-100000-self-play,50,12,lead_preserved,4
uct-100000-self-play,53,12,lead_preserved,5
uct-100000-self-play,54,12,reversal,3
uct-100000-self-play,55,12,lead_preserved,4
uct-100000-self-play,56,12,lead_preserved,5
uct-100000-self-play,57,12,lead_preserved,5
uct-100000-self-play,58,12,reversal,4
uct-100000-self-play,59,12,lead_preserved,4
uct-100000-self-play,60,12,lead_preserved,3
uct-100000-self-play,62,12,lead_preserved,1
uct-100000-self-play,63,12,lead_preserved,3
uct-100000-self-play,64,12,reversal,2
uct-100000-self-play,65,12,reversal,2
uct-100000-self-play,66,12,lead_preserved,2
uct-100000-self-play,67,12,reversal,5
uct-100000-self-play,68,12,reversal,1
uct-100000-self-play,69,12,reversal,4
uct-100000-self-play,72,12,lead_preserved,1
uct-100000-self-play,73,12,lead_preserved,5
uct-100000-self-play,74,12,lead_preserved,3
uct-100000-self-play,75,12,reversal,4
uct-100000-self-play,77,12,lead_preserved,2
uct-100000-self-play,80,12,reversal,1
uct-100000-self-play,81,12,lead_preserved,2
uct-100000-self-play,82,12,lead_preserved,4
uct-100000-self-play,83,12,lead_preserved,1
uct-100000-self-play,84,12,lead_preserved,5
uct-100000-self-play,85,12,lead_preserved,3
uct-100000-self-play,87,12,lead_preserved,4
uct-100000-self-play,88,12,reversal,4
uct-100000-self-play,89,12,reversal,5
uct-100000-self-play,90,12,lead_preserved,5
uct-100000-self-play,92,12,reversal,3
uct-100000-self-play,94,12,lead_preserved,2
uct-100000-self-play,95,12,lead_preserved,3
uct-100000-self-play,96,12,reversal,1
uct-100000-self-play,97,12,lead_preserved,2
uct-100000-self-play,98,12,lead_preserved,4
uct-100000-self-play,99,12,lead_preserved,5
uct-100000-self-play,100,12,lead_preserved,4
uct-100000-self-play,1,16,lead_preserved,4
uct-100000-self-play,2,16,reversal,3
uct-100000-self-play,3,16,lead_preserved,1
uct-100000-self-play,4,16,reversal,3
uct-100000-self-play,5,16,lead_preserved,2
uct-100000-self-play,6,16,reversal,5
uct-100000-self-play,7,16,lead_preserved,2
uct-100000-self-play,8,16,lead_preserved,2
uct-100000-self-play,10,16,reversal,5
uct-100000-self-play,11,16,lead_preserved,1
uct-100000-self-play,12,16,lead_preserved,5
uct-100000-self-play,13,16,lead_preserved,3
uct-100000-self-play,14,16,lead_preserved,1
uct-100000-self-play,16,16,lead_preserved,2
uct-100000-self-play,18,16,lead_preserved,2
uct-100000-self-play,19,16,reversal,1
uct-100000-self-play,20,16,reversal,4
uct-100000-self-play,21,16,lead_preserved,1
uct-100000-self-play,22,16,lead_preserved,5
uct-100000-self-play,23,16,lead_preserved,3
uct-100000-self-play,24,16,lead_preserved,1
uct-100000-self-play,25,16,lead_preserved,5
uct-100000-self-play,26,16,reversal,5
uct-100000-self-play,27,16,lead_preserved,4
uct-100000-self-play,28,16,lead_preserved,1
uct-100000-self-play,29,16,lead_preserved,3
uct-100000-self-play,31,16,lead_preserved,4
uct-100000-self-play,32,16,reversal,4
uct-100000-self-play,34,16,lead_preserved,3
uct-100000-self-play,35,16,reversal,2
uct-100000-self-play,37,16,lead_preserved,2
uct-100000-self-play,38,16,reversal,3
uct-100000-self-play,39,16,reversal,3
uct-100000-self-play,41,16,lead_preserved,2
uct-100000-self-play,42,16,lead_preserved,5
uct-100000-self-play,43,16,reversal,1
uct-100000-self-play,44,16,reversal,4
uct-100000-self-play,45,16,lead_preserved,2
uct-100000-self-play,46,16,reversal,2
uct-100000-self-play,48,16,lead_preserved,3
uct-100000-self-play,49,16,lead_preserved,1
uct-100000-self-play,50,16,lead_preserved,1
uct-100000-self-play,51,16,lead_preserved,5
uct-100000-self-play,53,16,lead_preserved,5
uct-100000-self-play,54,16,reversal,2
uct-100000-self-play,55,16,lead_preserved,4
uct-100000-self-play,57,16,lead_preserved,5
uct-100000-self-play,58,16,reversal,3
uct-100000-self-play,59,16,lead_preserved,5
uct-100000-self-play,60,16,reversal,4
uct-100000-self-play,62,16,lead_preserved,2
uct-100000-self-play,65,16,reversal,4
uct-100000-self-play,66,16,reversal,2
uct-100000-self-play,67,16,lead_preserved,3
uct-100000-self-play,68,16,reversal,1
uct-100000-self-play,69,16,reversal,3
uct-100000-self-play,71,16,lead_preserved,4
uct-100000-self-play,72,16,reversal,2
uct-100000-self-play,73,16,lead_preserved,2
uct-100000-self-play,74,16,reversal,1
uct-100000-self-play,75,16,reversal,4
uct-100000-self-play,77,16,lead_preserved,4
uct-100000-self-play,79,16,lead_preserved,3
uct-100000-self-play,80,16,lead_preserved,3
uct-100000-self-play,82,16,reversal,2
uct-100000-self-play,83,16,lead_preserved,1
uct-100000-self-play,84,16,lead_preserved,5
uct-100000-self-play,85,16,lead_preserved,4
uct-100000-self-play,87,16,lead_preserved,4
uct-100000-self-play,88,16,lead_preserved,3
uct-100000-self-play,89,16,reversal,1
uct-100000-self-play,90,16,lead_preserved,4
uct-100000-self-play,92,16,reversal,1
uct-100000-self-play,94,16,reversal,5
uct-100000-self-play,96,16,reversal,5
uct-100000-self-play,97,16,lead_preserved,3
uct-100000-self-play,99,16,lead_preserved,1
uct-100000-self-play,100,16,lead_preserved,4
uct-100000-self-play,1,20,reversal,4
uct-100000-self-play,2,20,reversal,4
uct-100000-self-play,3,20,lead_preserved,3
uct-100000-self-play,4,20,lead_preserved,4
uct-100000-self-play,5,20,lead_preserved,2
uct-100000-self-play,7,20,lead_preserved,4
uct-100000-self-play,9,20,lead_preserved,5
uct-100000-self-play,11,20,lead_preserved,2
uct-100000-self-play,12,20,lead_preserved,2
uct-100000-self-play,13,20,reversal,4
uct-100000-self-play,14,20,lead_preserved,3
uct-100000-self-play,16,20,lead_preserved,1
uct-100000-self-play,17,20,lead_preserved,5
uct-100000-self-play,18,20,lead_preserved,3
uct-100000-self-play,19,20,lead_preserved,5
uct-100000-self-play,20,20,lead_preserved,2
uct-100000-self-play,21,20,lead_preserved,1
uct-100000-self-play,22,20,lead_preserved,5
uct-100000-self-play,23,20,lead_preserved,1
uct-100000-self-play,24,20,reversal,4
uct-100000-self-play,25,20,lead_preserved,3
uct-100000-self-play,26,20,reversal,5
uct-100000-self-play,27,20,reversal,5
uct-100000-self-play,28,20,lead_preserved,3
uct-100000-self-play,29,20,lead_preserved,1
uct-100000-self-play,30,20,reversal,3
uct-100000-self-play,31,20,lead_preserved,3
uct-100000-self-play,32,20,reversal,3
uct-100000-self-play,33,20,lead_preserved,3
uct-100000-self-play,34,20,lead_preserved,2
uct-100000-self-play,35,20,reversal,1
uct-100000-self-play,36,20,lead_preserved,2
uct-100000-self-play,37,20,reversal,2
uct-100000-self-play,38,20,reversal,2
uct-100000-self-play,39,20,lead_preserved,1
uct-100000-self-play,41,20,reversal,5
uct-100000-self-play,42,20,lead_preserved,4
uct-100000-self-play,43,20,reversal,2
uct-100000-self-play,44,20,lead_preserved,4
uct-100000-self-play,45,20,lead_preserved,2
uct-100000-self-play,47,20,lead_preserved,1
uct-100000-self-play,48,20,lead_preserved,4
uct-100000-self-play,49,20,lead_preserved,2
uct-100000-self-play,51,20,reversal,5
uct-100000-self-play,52,20,lead_preserved,4
uct-100000-self-play,53,20,reversal,1
uct-100000-self-play,54,20,reversal,2
uct-100000-self-play,55,20,lead_preserved,5
uct-100000-self-play,56,20,reversal,2
uct-100000-self-play,57,20,lead_preserved,4
uct-100000-self-play,58,20,lead_preserved,3
uct-100000-self-play,59,20,lead_preserved,3
uct-100000-self-play,62,20,lead_preserved,1
uct-100000-self-play,63,20,reversal,1
uct-100000-self-play,64,20,lead_preserved,2
uct-100000-self-play,65,20,reversal,2
uct-100000-self-play,66,20,reversal,4
uct-100000-self-play,67,20,lead_preserved,5
uct-100000-self-play,68,20,reversal,1
uct-100000-self-play,69,20,reversal,4
uct-100000-self-play,71,20,lead_preserved,5
uct-100000-self-play,72,20,lead_preserved,1
uct-100000-self-play,73,20,lead_preserved,5
uct-100000-self-play,74,20,reversal,3
uct-100000-self-play,75,20,reversal,1
uct-100000-self-play,77,20,lead_preserved,4
uct-100000-self-play,79,20,reversal,2
uct-100000-self-play,80,20,lead_preserved,4
uct-100000-self-play,81,20,lead_preserved,1
uct-100000-self-play,82,20,lead_preserved,1
uct-100000-self-play,83,20,lead_preserved,1
uct-100000-self-play,84,20,lead_preserved,4
uct-100000-self-play,86,20,reversal,3
uct-100000-self-play,87,20,lead_preserved,3
uct-100000-self-play,88,20,reversal,1
uct-100000-self-play,89,20,reversal,5
uct-100000-self-play,90,20,reversal,3
uct-100000-self-play,91,20,reversal,1
uct-100000-self-play,92,20,lead_preserved,3
uct-100000-self-play,94,20,reversal,3
uct-100000-self-play,95,20,lead_preserved,2
uct-100000-self-play,96,20,lead_preserved,4
uct-100000-self-play,97,20,lead_preserved,5
uct-100000-self-play,98,20,lead_preserved,2
uct-100000-self-play,99,20,lead_preserved,5
uct-100000-self-play,100,20,reversal,5
uct-30000-self-play,1,8,lead_preserved,2
uct-30000-self-play,2,8,lead_preserved,5
uct-30000-self-play,5,8,reversal,3
uct-30000-self-play,6,8,lead_preserved,1
uct-30000-self-play,8,8,lead_preserved,4
uct-30000-self-play,9,8,lead_preserved,5
uct-30000-self-play,10,8,lead_preserved,1
uct-30000-self-play,12,8,lead_preserved,4
uct-30000-self-play,13,8,lead_preserved,2
uct-30000-self-play,14,8,reversal,5
uct-30000-self-play,15,8,reversal,1
uct-30000-self-play,16,8,lead_preserved,2
uct-30000-self-play,17,8,reversal,2
uct-30000-self-play,19,8,lead_preserved,4
