"board","experiment_id","checkpoint","comparison_layer","games","non_tied_leader_games","tied_at_checkpoint","leader_lost","leader_lost_rate"
"4x4","seeded-random-self-play","0.9","secured_advantage","100","94","6","8","0.085106"
"4x4","seeded-random-self-play","0.9","full_lexicographic","100","98","2","10","0.102041"
"4x4","uct-0100-self-play","0.25","secured","100","5","95","4","0.800000"
"4x4","uct-0100-self-play","0.25","secured_advantage","100","70","30","34","0.485714"
"4x4","uct-0100-self-play","0.25","full_lexicographic","100","77","23","34","0.441558"
"4x4","uct-0100-self-play","0.5","secured","100","53","47","26","0.490566"
"4x4","uct-0100-self-play","0.5","secured_advantage","100","91","9","44","0.483516"
"4x4","uct-0100-self-play","0.5","full_lexicographic","100","97","3","47","0.484536"
"4x4","uct-0100-self-play","0.75","secured","100","56","44","21","0.375000"
"4x4","uct-0100-self-play","0.75","secured_advantage","100","89","11","32","0.359551"
"4x4","uct-0100-self-play","0.75","full_lexicographic","100","98","2","35","0.357143"
"4x4","uct-0100-self-play","0.9","secured","100","56","44","13","0.232143"
"4x4","uct-0100-self-play","0.9","secured_advantage","100","87","13","21","0.241379"
"4x4","uct-0100-self-play","0.9","full_lexicographic","100","98","2","23","0.234694"
"4x4","uct-0500-self-play","0.25","secured","100","9","91","5","0.555556"
"4x4","uct-0500-self-play","0.25","secured_advantage","100","67","33","38","0.567164"
"4x4","uct-0500-self-play","0.25","full_lexicographic","100","77","23","41","0.532468"
"4x4","uct-0500-self-play","0.5","secured","100","65","35","25","0.384615"
"4x4","uct-0500-self-play","0.5","secured_advantage","100","92","8","37","0.402174"
"4x4","uct-0500-self-play","0.5","full_lexicographic","100","96","4","41","0.427083"
"4x4","uct-0500-self-play","0.75","secured","100","65","35","31","0.476923"
"4x4","uct-0500-self-play","0.75","secured_advantage","100","92","8","40","0.434783"
"4x4","uct-0500-self-play","0.75","full_lexicographic","100","98","2","44","0.448980"
"4x4","uct-0500-self-play","0.9","secured","100","46","54","17","0.369565"
"4x4","uct-0500-self-play","0.9","secured_advantage","100","84","16","34","0.404762"
"4x4","uct-0500-self-play","0.9","full_lexicographic","100","95","5","39","0.410526"
